Month,Year,Region,Country,Product,Units_Sold,Revenue
Jan,2020,AMAR,United States,LocoTrack HGR4,900,90000
Jan,2020,AMAR,United States,LocoTrack HGP4,900,90000
Jan,2020,AMAR,United States,LocoTrack HFR4,900,90000
Jan,2020,AMAR,United States,LocoTag P4P,90,9000
Jan,2020,AMAR,Canada,LocoTrack HGD4,1080,108000
Jan,2020,AMAR,Canada,LocoTrack HGR4,900,90000
Jan,2020,AMAR,Canada,LocoTrack HGP4,900,90000
Jan,2020,AMAR,Canada,LocoTrack HFR4,900,90000
Jan,2020,AMAR,Canada,LocoTag P4P,90,9000
Jan,2020,AMAR,Mexico,LocoTrack HGD4,1080,108000
Jan,2020,AMAR,Mexico,LocoTrack HGR4,900,90000
Jan,2020,AMAR,Mexico,LocoTrack HGP4,900,90000
Jan,2020,AMAR,Mexico,LocoTrack HFR4,900,90000
Jan,2020,AMAR,Mexico,LocoTag P4P,90,9000
Feb,2020,EMEA,United Kingdom,LocoTrack HGD4,1224,122400
Feb,2020,EMEA,United Kingdom,LocoTrack HGR4,1020,102000
Feb,2020,EMEA,United Kingdom,LocoTrack HGP4,1020,102000
Feb,2020,EMEA,United Kingdom,LocoTrack HFR4,1020,102000
Feb,2020,EMEA,United Kingdom,LocoTag P4P,102,10200
Feb,2020,EMEA,Germany,LocoTrack HGD4,1224,122400
Feb,2020,EMEA,Germany,LocoTrack HGR4,1020,102000
Feb,2020,EMEA,Germany,LocoTrack HGP4,1020,102000
Feb,2020,EMEA,Germany,LocoTrack HFR4,1020,102000
Feb,2020,EMEA,Germany,LocoTag P4P,102,10200
Feb,2020,EMEA,France,LocoTrack HGD4,1224,122400
Feb,2020,EMEA,France,LocoTrack HGR4,1020,102000
Feb,2020,EMEA,France,LocoTrack HGP4,1020,102000
Feb,2020,EMEA,France,LocoTrack HFR4,1020,102000
Feb,2020,EMEA,France,LocoTag P4P,102,10200
Feb,2020,APAC,Japan,LocoTrack HGD4,979,97900
Feb,2020,APAC,Japan,LocoTrack HGR4,816,81600
Feb,2020,APAC,Japan,LocoTrack HGP4,816,81600
Feb,2020,APAC,Japan,LocoTrack HFR4,816,81600
Feb,2020,APAC,Japan,LocoTag P4P,81,8100
Feb,2020,APAC,Australia,LocoTrack HGD4,979,97900
Feb,2020,APAC,Australia,LocoTrack HGR4,816,81600
Feb,2020,APAC,Australia,LocoTrack HGP4,816,81600
Feb,2020,APAC,Australia,LocoTrack HFR4,816,81600
Feb,2020,APAC,Australia,LocoTag P4P,81,8100
Feb,2020,APAC,Singapore,LocoTrack HGD4,979,97900
Feb,2020,APAC,Singapore,LocoTrack HGR4,816,81600
Feb,2020,APAC,Singapore,LocoTrack HGP4,816,81600
Feb,2020,APAC,Singapore,LocoTrack HFR4,816,81600
Feb,2020,APAC,Singapore,LocoTag P4P,81,8100
Feb,2020,AMAR,United States,LocoTrack HGD4,1101,110100
Feb,2020,AMAR,United States,LocoTrack HGR4,918,91800
Feb,2020,AMAR,United States,LocoTrack HGP4,918,91800
Feb,2020,AMAR,United States,LocoTrack HFR4,918,91800
Feb,2020,AMAR,United States,LocoTag P4P,91,9100
Feb,2020,AMAR,Canada,LocoTrack HGD4,1101,110100
Feb,2020,AMAR,Canada,LocoTrack HGR4,918,91800
Feb,2020,AMAR,Canada,LocoTrack HGP4,918,91800
Feb,2020,AMAR,Canada,LocoTrack HFR4,918,91800
Feb,2020,AMAR,Canada,LocoTag P4P,91,9100
Feb,2020,AMAR,Mexico,LocoTrack HGD4,1101,110100
Feb,2020,AMAR,Mexico,LocoTrack HGR4,918,91800
Feb,2020,AMAR,Mexico,LocoTrack HGP4,918,91800
Feb,2020,AMAR,Mexico,LocoTrack HFR4,918,91800
Feb,2020,AMAR,Mexico,LocoTag P4P,91,9100
Mar,2020,EMEA,United Kingdom,LocoTrack HGD4,1248,124800
Mar,2020,EMEA,United Kingdom,LocoTrack HGR4,1040,104000
Mar,2020,EMEA,United Kingdom,LocoTrack HGP4,1040,104000
Mar,2020,EMEA,United Kingdom,LocoTrack HFR4,1040,104000
Mar,2020,EMEA,United Kingdom,LocoTag P4P,104,10400
Mar,2020,EMEA,Germany,LocoTrack HGD4,1248,124800
Mar,2020,EMEA,Germany,LocoTrack HGR4,1040,104000
Mar,2020,EMEA,Germany,LocoTrack HGP4,1040,104000
Mar,2020,EMEA,Germany,LocoTrack HFR4,1040,104000
Mar,2020,EMEA,Germany,LocoTag P4P,104,10400
Mar,2020,EMEA,France,LocoTrack HGD4,1248,124800
Mar,2020,EMEA,France,LocoTrack HGR4,1040,104000
Mar,2020,EMEA,France,LocoTrack HGP4,1040,104000
Mar,2020,EMEA,France,LocoTrack HFR4,1040,104000
Mar,2020,EMEA,France,LocoTag P4P,104,10400
Mar,2020,APAC,Japan,LocoTrack HGD4,998,99800
Mar,2020,APAC,Japan,LocoTrack HGR4,832,83200
Mar,2020,APAC,Japan,LocoTrack HGP4,832,83200
Mar,2020,APAC,Japan,LocoTrack HFR4,832,83200
Mar,2020,APAC,Japan,LocoTag P4P,83,8300
Mar,2020,APAC,Australia,LocoTrack HGD4,998,99800
Mar,2020,APAC,Australia,LocoTrack HGR4,832,83200
Mar,2020,APAC,Australia,LocoTrack HGP4,832,83200
Mar,2020,APAC,Australia,LocoTrack HFR4,832,83200
Mar,2020,APAC,Australia,LocoTag P4P,83,8300
Mar,2020,APAC,Singapore,LocoTrack HGD4,998,99800
Mar,2020,APAC,Singapore,LocoTrack HGR4,832,83200
Mar,2020,APAC,Singapore,LocoTrack HGP4,832,83200
Mar,2020,APAC,Singapore,LocoTrack HFR4,832,83200
Mar,2020,APAC,Singapore,LocoTag P4P,83,8300
Mar,2020,AMAR,United States,LocoTrack HGD4,1123,112300
Mar,2020,AMAR,United States,LocoTrack HGR4,936,93600
Mar,2020,AMAR,United States,LocoTrack HGP4,936,93600
Mar,2020,AMAR,United States,LocoTrack HFR4,936,93600
Mar,2020,AMAR,United States,LocoTag P4P,93,9300
Mar,2020,AMAR,Canada,LocoTrack HGD4,1123,112300
Mar,2020,AMAR,Canada,LocoTrack HGR4,936,93600
Mar,2020,AMAR,Canada,LocoTrack HGP4,936,93600
Mar,2020,AMAR,Canada,LocoTrack HFR4,936,93600
Mar,2020,AMAR,Canada,LocoTag P4P,93,9300
Mar,2020,AMAR,Mexico,LocoTrack HGD4,1123,112300
Mar,2020,AMAR,Mexico,LocoTrack HGR4,936,93600
Mar,2020,AMAR,Mexico,LocoTrack HGP4,936,93600
Mar,2020,AMAR,Mexico,LocoTrack HFR4,936,93600
Mar,2020,AMAR,Mexico,LocoTag P4P,93,9300
Apr,2020,EMEA,United Kingdom,LocoTrack HGD4,1272,127200
Apr,2020,EMEA,United Kingdom,LocoTrack HGR4,1060,106000
Apr,2020,EMEA,United Kingdom,LocoTrack HGP4,1060,106000
Apr,2020,EMEA,United Kingdom,LocoTrack HFR4,1060,106000
Apr,2020,EMEA,United Kingdom,LocoTag P4P,106,10600
Apr,2020,EMEA,Germany,LocoTrack HGD4,1272,127200
Apr,2020,EMEA,Germany,LocoTrack HGR4,1060,106000
Apr,2020,EMEA,Germany,LocoTrack HGP4,1060,106000
Apr,2020,EMEA,Germany,LocoTrack HFR4,1060,106000
Apr,2020,EMEA,Germany,LocoTag P4P,106,10600
Apr,2020,EMEA,France,LocoTrack HGD4,1272,127200
Apr,2020,EMEA,France,LocoTrack HGR4,1060,106000
Apr,2020,EMEA,France,LocoTrack HGP4,1060,106000
Apr,2020,EMEA,France,LocoTrack HFR4,1060,106000
Apr,2020,EMEA,France,LocoTag P4P,106,10600
Apr,2020,APAC,Japan,LocoTrack HGD4,1017,101700
Apr,2020,APAC,Japan,LocoTrack HGR4,848,84800
Apr,2020,APAC,Japan,LocoTrack HGP4,848,84800
Apr,2020,APAC,Japan,LocoTrack HFR4,848,84800
Apr,2020,APAC,Japan,LocoTag P4P,84,8400
Apr,2020,APAC,Australia,LocoTrack HGD4,1017,101700
Apr,2020,APAC,Australia,LocoTrack HGR4,848,84800
Apr,2020,APAC,Australia,LocoTrack HGP4,848,84800
Apr,2020,APAC,Australia,LocoTrack HFR4,848,84800
Apr,2020,APAC,Australia,LocoTag P4P,84,8400
Apr,2020,APAC,Singapore,LocoTrack HGD4,1017,101700
Apr,2020,APAC,Singapore,LocoTrack HGR4,848,84800
Apr,2020,APAC,Singapore,LocoTrack HGP4,848,84800
Apr,2020,APAC,Singapore,LocoTrack HFR4,848,84800
Apr,2020,APAC,Singapore,LocoTag P4P,84,8400
Apr,2020,AMAR,United States,LocoTrack HGD4,1144,114400
Apr,2020,AMAR,United States,LocoTrack HGR4,954,95400
Apr,2020,AMAR,United States,LocoTrack HGP4,954,95400
Apr,2020,AMAR,United States,LocoTrack HFR4,954,95400
Apr,2020,AMAR,United States,LocoTag P4P,95,9500
Apr,2020,AMAR,Canada,LocoTrack HGD4,1144,114400
Apr,2020,AMAR,Canada,LocoTrack HGR4,954,95400
Apr,2020,AMAR,Canada,LocoTrack HGP4,954,95400
Apr,2020,AMAR,Canada,LocoTrack HFR4,954,95400
Apr,2020,AMAR,Canada,LocoTag P4P,95,9500
Apr,2020,AMAR,Mexico,LocoTrack HGD4,1144,114400
Apr,2020,AMAR,Mexico,LocoTrack HGR4,954,95400
Apr,2020,AMAR,Mexico,LocoTrack HGP4,954,95400
Apr,2020,AMAR,Mexico,LocoTrack HFR4,954,95400
Apr,2020,AMAR,Mexico,LocoTag P4P,95,9500
May,2020,EMEA,United Kingdom,LocoTrack HGD4,1296,129600
May,2020,EMEA,United Kingdom,LocoTrack HGR4,1080,108000
May,2020,EMEA,United Kingdom,LocoTrack HGP4,1080,108000
May,2020,EMEA,United Kingdom,LocoTrack HFR4,1080,108000
May,2020,EMEA,United Kingdom,LocoTag P4P,108,10800
May,2020,EMEA,Germany,LocoTrack HGD4,1296,129600
May,2020,EMEA,Germany,LocoTrack HGR4,1080,108000
May,2020,EMEA,Germany,LocoTrack HGP4,1080,108000
May,2020,EMEA,Germany,LocoTrack HFR4,1080,108000
May,2020,EMEA,Germany,LocoTag P4P,108,10800
May,2020,EMEA,France,LocoTrack HGD4,1296,129600
May,2020,EMEA,France,LocoTrack HGR4,1080,108000
May,2020,EMEA,France,LocoTrack HGP4,1080,108000
May,2020,EMEA,France,LocoTrack HFR4,1080,108000
May,2020,EMEA,France,LocoTag P4P,108,10800
May,2020,APAC,Japan,LocoTrack HGD4,1036,103600
May,2020,APAC,Japan,LocoTrack HGR4,864,86400
May,2020,APAC,Japan,LocoTrack HGP4,864,86400
May,2020,APAC,Japan,LocoTrack HFR4,864,86400
May,2020,APAC,Japan,LocoTag P4P,86,8600
May,2020,APAC,Australia,LocoTrack HGD4,1036,103600
May,2020,APAC,Australia,LocoTrack HGR4,864,86400
May,2020,APAC,Australia,LocoTrack HGP4,864,86400
May,2020,APAC,Australia,LocoTrack HFR4,864,86400
May,2020,APAC,Australia,LocoTag P4P,86,8600
May,2020,APAC,Singapore,LocoTrack HGD4,1036,103600
May,2020,APAC,Singapore,LocoTrack HGR4,864,86400
May,2020,APAC,Singapore,LocoTrack HGP4,864,86400
May,2020,APAC,Singapore,LocoTrack HFR4,864,86400
May,2020,APAC,Singapore,LocoTag P4P,86,8600
May,2020,AMAR,United States,LocoTrack HGD4,1166,116600
May,2020,AMAR,United States,LocoTrack HGR4,972,97200
May,2020,AMAR,United States,LocoTrack HGP4,972,97200
May,2020,AMAR,United States,LocoTrack HFR4,972,97200
May,2020,AMAR,United States,LocoTag P4P,97,9700
May,2020,AMAR,Canada,LocoTrack HGD4,1166,116600
May,2020,AMAR,Canada,LocoTrack HGR4,972,97200
May,2020,AMAR,Canada,LocoTrack HGP4,972,97200
May,2020,AMAR,Canada,LocoTrack HFR4,972,97200
May,2020,AMAR,Canada,LocoTag P4P,97,9700
May,2020,AMAR,Mexico,LocoTrack HGD4,1166,116600
May,2020,AMAR,Mexico,LocoTrack HGR4,972,97200
May,2020,AMAR,Mexico,LocoTrack HGP4,972,97200
May,2020,AMAR,Mexico,LocoTrack HFR4,972,97200
May,2020,AMAR,Mexico,LocoTag P4P,97,9700
Jun,2020,EMEA,United Kingdom,LocoTrack HGD4,1320,132000
Jun,2020,EMEA,United Kingdom,LocoTrack HGR4,1100,110000
Jun,2020,EMEA,United Kingdom,LocoTrack HGP4,1100,110000
Jun,2020,EMEA,United Kingdom,LocoTrack HFR4,1100,110000
Jun,2020,EMEA,United Kingdom,LocoTag P4P,110,11000
Jun,2020,EMEA,Germany,LocoTrack HGD4,1320,132000
Jun,2020,EMEA,Germany,LocoTrack HGR4,1100,110000
Jun,2020,EMEA,Germany,LocoTrack HGP4,1100,110000
Jun,2020,EMEA,Germany,LocoTrack HFR4,1100,110000
Jun,2020,EMEA,Germany,LocoTag P4P,110,11000
Jun,2020,EMEA,France,LocoTrack HGD4,1320,132000
Jun,2020,EMEA,France,LocoTrack HGR4,1100,110000
Jun,2020,EMEA,France,LocoTrack HGP4,1100,110000
Jun,2020,EMEA,France,LocoTrack HFR4,1100,110000
Jun,2020,EMEA,France,LocoTag P4P,110,11000
Jun,2020,APAC,Japan,LocoTrack HGD4,1056,105600
Jun,2020,APAC,Japan,LocoTrack HGR4,880,88000
Jun,2020,APAC,Japan,LocoTrack HGP4,880,88000
Jun,2020,APAC,Japan,LocoTrack HFR4,880,88000
Jun,2020,APAC,Japan,LocoTag P4P,88,8800
Jun,2020,APAC,Australia,LocoTrack HGD4,1056,105600
Jun,2020,APAC,Australia,LocoTrack HGR4,880,88000
Jun,2020,APAC,Australia,LocoTrack HGP4,880,88000
Jun,2020,APAC,Australia,LocoTrack HFR4,880,88000
Jun,2020,APAC,Australia,LocoTag P4P,88,8800
Jun,2020,APAC,Singapore,LocoTrack HGD4,1056,105600
Jun,2020,APAC,Singapore,LocoTrack HGR4,880,88000
Jun,2020,APAC,Singapore,LocoTrack HGP4,880,88000
Jun,2020,APAC,Singapore,LocoTrack HFR4,880,88000
Jun,2020,APAC,Singapore,LocoTag P4P,88,8800
Jun,2020,AMAR,United States,LocoTrack HGD4,1188,118800
Jun,2020,AMAR,United States,LocoTrack HGR4,990,99000
Jun,2020,AMAR,United States,LocoTrack HGP4,990,99000
Jun,2020,AMAR,United States,LocoTrack HFR4,990,99000
Jun,2020,AMAR,United States,LocoTag P4P,99,9900
Jun,2020,AMAR,Canada,LocoTrack HGD4,1188,118800
Jun,2020,AMAR,Canada,LocoTrack HGR4,990,99000
Jun,2020,AMAR,Canada,LocoTrack HGP4,990,99000
Jun,2020,AMAR,Canada,LocoTrack HFR4,990,99000
Jun,2020,AMAR,Canada,LocoTag P4P,99,9900
Jun,2020,AMAR,Mexico,LocoTrack HGD4,1188,118800
Jun,2020,AMAR,Mexico,LocoTrack HGR4,990,99000
Jun,2020,AMAR,Mexico,LocoTrack HGP4,990,99000
Jun,2020,AMAR,Mexico,LocoTrack HFR4,990,99000
Jun,2020,AMAR,Mexico,LocoTag P4P,99,9900
Jul,2020,EMEA,United Kingdom,LocoTrack HGD4,1344,134400
Jul,2020,EMEA,United Kingdom,LocoTrack HGR4,1120,112000
Jul,2020,EMEA,United Kingdom,LocoTrack HGP4,1120,112000
Jul,2020,EMEA,United Kingdom,LocoTrack HFR4,1120,112000
Jul,2020,EMEA,United Kingdom,LocoTag P4P,112,11200
Jul,2020,EMEA,Germany,LocoTrack HGD4,1344,134400
Jul,2020,EMEA,Germany,LocoTrack HGR4,1120,112000
Jul,2020,EMEA,Germany,LocoTrack HGP4,1120,112000
Jul,2020,EMEA,Germany,LocoTrack HFR4,1120,112000
Jul,2020,EMEA,Germany,LocoTag P4P,112,11200
Jul,2020,EMEA,France,LocoTrack HGD4,1344,134400
Jul,2020,EMEA,France,LocoTrack HGR4,1120,112000
Jul,2020,EMEA,France,LocoTrack HGP4,1120,112000
Jul,2020,EMEA,France,LocoTrack HFR4,1120,112000
Jul,2020,EMEA,France,LocoTag P4P,112,11200
Jul,2020,APAC,Japan,LocoTrack HGD4,1075,107500
Jul,2020,APAC,Japan,LocoTrack HGR4,896,89600
Jul,2020,APAC,Japan,LocoTrack HGP4,896,89600
Jul,2020,APAC,Japan,LocoTrack HFR4,896,89600
Jul,2020,APAC,Japan,LocoTag P4P,89,8900
Jul,2020,APAC,Australia,LocoTrack HGD4,1075,107500
Jul,2020,APAC,Australia,LocoTrack HGR4,896,89600
Jul,2020,APAC,Australia,LocoTrack HGP4,896,89600
Jul,2020,APAC,Australia,LocoTrack HFR4,896,89600
Jul,2020,APAC,Australia,LocoTag P4P,89,8900
Jul,2020,APAC,Singapore,LocoTrack HGD4,1075,107500
Jul,2020,APAC,Singapore,LocoTrack HGR4,896,89600
Jul,2020,APAC,Singapore,LocoTrack HGP4,896,89600
Jul,2020,APAC,Singapore,LocoTrack HFR4,896,89600
Jul,2020,APAC,Singapore,LocoTag P4P,89,8900
Jul,2020,AMAR,United States,LocoTrack HGD4,1209,120900
Jul,2020,AMAR,United States,LocoTrack HGR4,1008,100800
Jul,2020,AMAR,United States,LocoTrack HGP4,1008,100800
Jul,2020,AMAR,United States,LocoTrack HFR4,1008,100800
Jul,2020,AMAR,United States,LocoTag P4P,100,10000
Jul,2020,AMAR,Canada,LocoTrack HGD4,1209,120900
Jul,2020,AMAR,Canada,LocoTrack HGR4,1008,100800
Jul,2020,AMAR,Canada,LocoTrack HGP4,1008,100800
Jul,2020,AMAR,Canada,LocoTrack HFR4,1008,100800
Jul,2020,AMAR,Canada,LocoTag P4P,100,10000
Jul,2020,AMAR,Mexico,LocoTrack HGD4,1209,120900
Jul,2020,AMAR,Mexico,LocoTrack HGR4,1008,100800
Jul,2020,AMAR,Mexico,LocoTrack HGP4,1008,100800
Jul,2020,AMAR,Mexico,LocoTrack HFR4,1008,100800
Jul,2020,AMAR,Mexico,LocoTag P4P,100,10000
Aug,2020,EMEA,United Kingdom,LocoTrack HGD4,1368,136800
Aug,2020,EMEA,United Kingdom,LocoTrack HGR4,1140,114000
Aug,2020,EMEA,United Kingdom,LocoTrack HGP4,1140,114000
Aug,2020,EMEA,United Kingdom,LocoTrack HFR4,1140,114000
Aug,2020,EMEA,United Kingdom,LocoTag P4P,114,11400
Aug,2020,EMEA,Germany,LocoTrack HGD4,1368,136800
Aug,2020,EMEA,Germany,LocoTrack HGR4,1140,114000
Aug,2020,EMEA,Germany,LocoTrack HGP4,1140,114000
Aug,2020,EMEA,Germany,LocoTrack HFR4,1140,114000
Aug,2020,EMEA,Germany,LocoTag P4P,114,11400
Aug,2020,EMEA,France,LocoTrack HGD4,1368,136800
Aug,2020,EMEA,France,LocoTrack HGR4,1140,114000
Aug,2020,EMEA,France,LocoTrack HGP4,1140,114000
Aug,2020,EMEA,France,LocoTrack HFR4,1140,114000
Aug,2020,EMEA,France,LocoTag P4P,114,11400
Aug,2020,APAC,Japan,LocoTrack HGD4,1094,109400
Aug,2020,APAC,Japan,LocoTrack HGR4,912,91200
Aug,2020,APAC,Japan,LocoTrack HGP4,912,91200
Aug,2020,APAC,Japan,LocoTrack HFR4,912,91200
Aug,2020,APAC,Japan,LocoTag P4P,91,9100
Aug,2020,APAC,Australia,LocoTrack HGD4,1094,109400
Aug,2020,APAC,Australia,LocoTrack HGR4,912,91200
Aug,2020,APAC,Australia,LocoTrack HGP4,912,91200
Aug,2020,APAC,Australia,LocoTrack HFR4,912,91200
Aug,2020,APAC,Australia,LocoTag P4P,91,9100
Aug,2020,APAC,Singapore,LocoTrack HGD4,1094,109400
Aug,2020,APAC,Singapore,LocoTrack HGR4,912,91200
Aug,2020,APAC,Singapore,LocoTrack HGP4,912,91200
Aug,2020,APAC,Singapore,LocoTrack HFR4,912,91200
Aug,2020,APAC,Singapore,LocoTag P4P,91,9100
Aug,2020,AMAR,United States,LocoTrack HGD4,1231,123100
Aug,2020,AMAR,United States,LocoTrack HGR4,1026,102600
Aug,2020,AMAR,United States,LocoTrack HGP4,1026,102600
Aug,2020,AMAR,United States,LocoTrack HFR4,1026,102600
Aug,2020,AMAR,United States,LocoTag P4P,102,10200
Aug,2020,AMAR,Canada,LocoTrack HGD4,1231,123100
Aug,2020,AMAR,Canada,LocoTrack HGR4,1026,102600
Aug,2020,AMAR,Canada,LocoTrack HGP4,1026,102600
Aug,2020,AMAR,Canada,LocoTrack HFR4,1026,102600
Aug,2020,AMAR,Canada,LocoTag P4P,102,10200
Aug,2020,AMAR,Mexico,LocoTrack HGD4,1231,123100
Aug,2020,AMAR,Mexico,LocoTrack HGR4,1026,102600
Aug,2020,AMAR,Mexico,LocoTrack HGP4,1026,102600
Aug,2020,AMAR,Mexico,LocoTrack HFR4,1026,102600
Aug,2020,AMAR,Mexico,LocoTag P4P,102,10200
Sep,2020,EMEA,United Kingdom,LocoTrack HGD4,1392,139200
Sep,2020,EMEA,United Kingdom,LocoTrack HGR4,1160,116000
Sep,2020,EMEA,United Kingdom,LocoTrack HGP4,1160,116000
Sep,2020,EMEA,United Kingdom,LocoTrack HFR4,1160,116000
Sep,2020,EMEA,United Kingdom,LocoTag P4P,115,11500
Sep,2020,EMEA,Germany,LocoTrack HGD4,1392,139200
Sep,2020,EMEA,Germany,LocoTrack HGR4,1160,116000
Sep,2020,EMEA,Germany,LocoTrack HGP4,1160,116000
Sep,2020,EMEA,Germany,LocoTrack HFR4,1160,116000
Sep,2020,EMEA,Germany,LocoTag P4P,115,11500
Sep,2020,EMEA,France,LocoTrack HGD4,1392,139200
Sep,2020,EMEA,France,LocoTrack HGR4,1160,116000
Sep,2020,EMEA,France,LocoTrack HGP4,1160,116000
Sep,2020,EMEA,France,LocoTrack HFR4,1160,116000
Sep,2020,EMEA,France,LocoTag P4P,115,11500
Sep,2020,APAC,Japan,LocoTrack HGD4,1113,111300
Sep,2020,APAC,Japan,LocoTrack HGR4,927,92700
Sep,2020,APAC,Japan,LocoTrack HGP4,927,92700
Sep,2020,APAC,Japan,LocoTrack HFR4,927,92700
Sep,2020,APAC,Japan,LocoTag P4P,92,9200
Sep,2020,APAC,Australia,LocoTrack HGD4,1113,111300
Sep,2020,APAC,Australia,LocoTrack HGR4,927,92700
Sep,2020,APAC,Australia,LocoTrack HGP4,927,92700
Sep,2020,APAC,Australia,LocoTrack HFR4,927,92700
Sep,2020,APAC,Australia,LocoTag P4P,92,9200
Sep,2020,APAC,Singapore,LocoTrack HGD4,1113,111300
Sep,2020,APAC,Singapore,LocoTrack HGR4,927,92700
Sep,2020,APAC,Singapore,LocoTrack HGP4,927,92700
Sep,2020,APAC,Singapore,LocoTrack HFR4,927,92700
Sep,2020,APAC,Singapore,LocoTag P4P,92,9200
Sep,2020,AMAR,United States,LocoTrack HGD4,1252,125200
Sep,2020,AMAR,United States,LocoTrack HGR4,1044,104400
Sep,2020,AMAR,United States,LocoTrack HGP4,1044,104400
Sep,2020,AMAR,United States,LocoTrack HFR4,1044,104400
Sep,2020,AMAR,United States,LocoTag P4P,104,10400
Sep,2020,AMAR,Canada,LocoTrack HGD4,1252,125200
Sep,2020,AMAR,Canada,LocoTrack HGR4,1044,104400
Sep,2020,AMAR,Canada,LocoTrack HGP4,1044,104400
Sep,2020,AMAR,Canada,LocoTrack HFR4,1044,104400
Sep,2020,AMAR,Canada,LocoTag P4P,104,10400
Sep,2020,AMAR,Mexico,LocoTrack HGD4,1252,125200
Sep,2020,AMAR,Mexico,LocoTrack HGR4,1044,104400
Sep,2020,AMAR,Mexico,LocoTrack HGP4,1044,104400
Sep,2020,AMAR,Mexico,LocoTrack HFR4,1044,104400
Sep,2020,AMAR,Mexico,LocoTag P4P,104,10400
Oct,2020,EMEA,United Kingdom,LocoTrack HGD4,1416,141600
Oct,2020,EMEA,United Kingdom,LocoTrack HGR4,1180,118000
Oct,2020,EMEA,United Kingdom,LocoTrack HGP4,1180,118000
Oct,2020,EMEA,United Kingdom,LocoTrack HFR4,1180,118000
Oct,2020,EMEA,United Kingdom,LocoTag P4P,118,11800
Oct,2020,EMEA,Germany,LocoTrack HGD4,1416,141600
Oct,2020,EMEA,Germany,LocoTrack HGR4,1180,118000
Oct,2020,EMEA,Germany,LocoTrack HGP4,1180,118000
Oct,2020,EMEA,Germany,LocoTrack HFR4,1180,118000
Oct,2020,EMEA,Germany,LocoTag P4P,118,11800
Oct,2020,EMEA,France,LocoTrack HGD4,1416,141600
Oct,2020,EMEA,France,LocoTrack HGR4,1180,118000
Oct,2020,EMEA,France,LocoTrack HGP4,1180,118000
Oct,2020,EMEA,France,LocoTrack HFR4,1180,118000
Oct,2020,EMEA,France,LocoTag P4P,118,11800
Oct,2020,APAC,Japan,LocoTrack HGD4,1132,113200
Oct,2020,APAC,Japan,LocoTrack HGR4,944,94400
Oct,2020,APAC,Japan,LocoTrack HGP4,944,94400
Oct,2020,APAC,Japan,LocoTrack HFR4,944,94400
Oct,2020,APAC,Japan,LocoTag P4P,94,9400
Oct,2020,APAC,Australia,LocoTrack HGD4,1132,113200
Oct,2020,APAC,Australia,LocoTrack HGR4,944,94400
Oct,2020,APAC,Australia,LocoTrack HGP4,944,94400
Oct,2020,APAC,Australia,LocoTrack HFR4,944,94400
Oct,2020,APAC,Australia,LocoTag P4P,94,9400
Oct,2020,APAC,Singapore,LocoTrack HGD4,1132,113200
Oct,2020,APAC,Singapore,LocoTrack HGR4,944,94400
Oct,2020,APAC,Singapore,LocoTrack HGP4,944,94400
Oct,2020,APAC,Singapore,LocoTrack HFR4,944,94400
Oct,2020,APAC,Singapore,LocoTag P4P,94,9400
Oct,2020,AMAR,United States,LocoTrack HGD4,1274,127400
Oct,2020,AMAR,United States,LocoTrack HGR4,1062,106200
Oct,2020,AMAR,United States,LocoTrack HGP4,1062,106200
Oct,2020,AMAR,United States,LocoTrack HFR4,1062,106200
